query,listings_read,paid_ad_slots,bestseller_badges,price_min,price_p25,price_median,price_p75,price_max,top_shop,top_shop_reviews,est_top_shop_lifetime_sales,top_title_keywords
personalized cutting board,60,24,30,10,20,21,41,190,MiraGiftsWorld,55900,229190,board:107; cutting:67; wedding:42; engraved:33; charcuterie:32; anniversary:26
custom wood sign,60,24,23,6,20,34,61,200,WoodByStu,128300,526030,sign:155; wood:69; wooden:35; logo:33; wall:30; decor:28
floating shelf,60,24,27,12,31,59,97,310,URBANDIstore,10400,42640,shelf:93; floating:76; shelves:39; wood:32; wall:30; rustic:24
wood desk organizer,60,24,4,25,40,59,109,505,GretaOtoDesign,20100,82410,desk:76; organizer:64; wood:38; office:34; storage:29; wooden:21
wooden puzzle,60,24,8,6,15,30,48,6995,BusyPuzzle,107300,439930,puzzle:85; wooden:47; name:19; jigsaw:15; puzzles:13; baby:13
machined titanium edc,60,24,2,12,35,65,95,825,PacificSons,10700,43870,titanium:64; tool:16; fidget:13; machined:11; pocket:8; utility:8
metal wall art,60,24,12,15,32,57,90,495,Crossmetalworks,38400,157440,metal:99; wall:97; decor:62; sign:31; modern:16; tree:15
steel table legs,60,24,15,13,84,118,279,2643,RustyDesignCanada,7500,30750,table:78; legs:67; steel:40; metal:36; modern:20; industrial:17
custom cnc machined part,60,24,13,1,15,26,52,500,BrandIronCraftShop,6800,27880,stamp:34; branding:30; wood:27; iron:26; leather:20; metal:18
modern house numbers,60,24,24,3,14,38,50,176,Makertable,27500,112750,house:80; address:76; numbers:66; sign:65; modern:50; number:38
wooden jewelry box,60,23,10,17,65,109,162,1049,SeptemberAndGraceINC,21100,86510,jewelry:95; organizer:31; wooden:30; walnut:26; wood:25; storage:17
wood monitor stand,60,23,1,40,89,114,153,383,Oakywood,8500,34850,monitor:86; stand:73; desk:56; wood:41; riser:41; shelf:36
wall mounted coat rack,60,24,10,10,51,66,94,438,DistressedMeNot,10900,44690,rack:95; coat:89; wall:75; entryway:41; hooks:37; organizer:26
custom metal business sign,60,24,10,10,22,31,85,400,Crossmetalworks,38400,157440,sign:162; metal:84; logo:62; business:60; wall:31; outdoor:19
