arxiv_id,published,theme,axis_score,fit_score,classified,title,url
2606.16078,2026-06-15,manufacturing-robotics,24,54,yes,"A Deployment Case Study in Robotic Apparel Automation: Digital Twin Integration, Interoperability, and Workforce Enablement",https://arxiv.org/abs/2606.16078
2606.08214,2026-06-06,manufacturing-robotics,12,26,yes,Agentic Neuro-Symbolic Planning and Commissioning for Human-in-the-Loop Industrial Robotics with Digital Twins,https://arxiv.org/abs/2606.08214
2607.24770,2026-06-09,furniture-woodworking,0,24,yes,ProcAgent: An Agentic Framework for Procedural Task Guidance on Edge with Human-in-the-Loop,https://arxiv.org/abs/2607.24770
2605.08831,2026-05-09,manufacturing-robotics,10,21,yes,AssemPlanner: A Multi-Agent Based Task Planning Framework for Flexible Assembly System,https://arxiv.org/abs/2605.08831
2608.21417,2026-08-13,manufacturing-robotics,7,20,yes,Retrieval-grounded robot program generation and simulation-based correction via Model Context Protocol,https://arxiv.org/abs/2608.21417
2608.17129,2026-08-17,furniture-woodworking,6,20,no,PROBE: Manipulation-Grounded Visual Question Answering with VLM Agents,https://arxiv.org/abs/2608.17129
2603.01082,2026-03-01,furniture-woodworking,2,20,no,"Beyond Global Similarity: Towards Fine-Grained, Multi-Condition Multimodal Retrieval",https://arxiv.org/abs/2603.01082
2603.22321,2026-03-20,furniture-woodworking,2,20,no,From Instructions to Assistance: a Dataset Aligning Instruction Manuals with Assembly Videos for Evaluating Multimodal LLMs,https://arxiv.org/abs/2603.22321
2605.19793,2026-05-19,furniture-woodworking,9,17,no,Motion-Coupled Sensing: When the State Change Powers Its Own Sensing,https://arxiv.org/abs/2605.19793
2607.01212,2026-07-01,furniture-woodworking,5,17,yes,FurnitureVLA: Learning Long-Horizon Bimanual Furniture Assembly with Vision-Language-Action Model,https://arxiv.org/abs/2607.01212
2608.24039,2026-08-25,manufacturing-robotics,4,17,yes,Design-to-Plan: A Large Language Model-Based Multi-Agent Framework for Manufacturing Process Planning from 3D CAD Models and 2D Engineering Drawings,https://arxiv.org/abs/2608.24039
2604.00913,2026-04-01,furniture-woodworking,0,17,no,Benchmarking and Mechanistic Analysis of Vision-Language Models for Cross-Depiction Assembly Instruction Alignment,https://arxiv.org/abs/2604.00913
2605.21625,2026-05-20,furniture-woodworking,0,17,yes,Flat-Pack Bench: Evaluating Spatio-Temporal Understanding in Large Vision-Language Models through Furniture Assembly,https://arxiv.org/abs/2605.21625
2606.17309,2026-06-15,furniture-woodworking,4,16,no,Abstention-Aware Personalized Object Rearrangement via Uncertainty-Guided LLM Assistance,https://arxiv.org/abs/2606.17309
2602.09153,2026-02-09,furniture-woodworking,2,16,no,SceneSmith: Agentic Generation of Simulation-Ready Indoor Scenes,https://arxiv.org/abs/2602.09153
2605.16832,2026-05-16,furniture-woodworking,2,16,no,Coarse Semantic Injection for LLM-Conditioned Structured Indoor Prediction,https://arxiv.org/abs/2605.16832
2606.06390,2026-06-04,furniture-woodworking,2,16,no,"HomeWorld: A Unified Floorplan-to-Furnished Framework for Generating Controllable, Densely Interactive Whole-Home Scenes",https://arxiv.org/abs/2606.06390
2607.20866,2026-07-23,furniture-woodworking,2,16,no,Agentic Designer: Progressive Multi-Agent Collaboration for Structure-Aware Interior Layout Generation,https://arxiv.org/abs/2607.20866
2604.14965,2026-04-16,furniture-woodworking,0,16,no,POMDP-based Object Search with Growing State Space and Hybrid Action Domain,https://arxiv.org/abs/2604.14965
2604.27361,2026-04-30,furniture-woodworking,0,16,no,CasLayout: Cascaded 3D Layout Diffusion for Indoor Scene Synthesis with Implicit Relation Modeling,https://arxiv.org/abs/2604.27361
2605.30819,2026-05-29,furniture-woodworking,0,16,no,Function2Scene: 3D Indoor Scene Layout from Functional Specifications,https://arxiv.org/abs/2605.30819
2608.01954,2026-08-03,furniture-woodworking,0,16,no,StyleForge: Indoor Furniture Styling by Counterfactual Reasoning in a Hypergraph Field,https://arxiv.org/abs/2608.01954
2608.29519,2026-08-30,furniture-woodworking,0,16,no,FuncRoom-Agent: Sequential Feed-Forward 3D Functional Indoor Scene Generation,https://arxiv.org/abs/2608.29519
2604.23310,2026-04-25,furniture-woodworking,8,15,no,RadTwin: Generalizable Wireless Digital Twin for Dynamic Environments,https://arxiv.org/abs/2604.23310
2604.22235,2026-04-24,manufacturing-robotics,21,14,yes,Learning-augmented robotic automation for real-world manufacturing,https://arxiv.org/abs/2604.22235
2607.16312,2026-07-14,manufacturing-robotics,18,14,no,xperception -- Making Robotic Grasping Easier,https://arxiv.org/abs/2607.16312
2608.17962,2026-08-18,manufacturing-robotics,18,14,yes,PRISM: Precision and contact-rich Real-world Industrial Skill dataset with Multimodal sensing,https://arxiv.org/abs/2608.17962
2605.27461,2026-05-25,manufacturing-robotics,17,14,no,"A Factory-Floor Deployment Case Study of VLA Pipelines for Industrial Packaging Task: Workflow, Failures, and Lessons",https://arxiv.org/abs/2605.27461
2604.20468,2026-04-22,manufacturing-robotics,5,14,yes,"MOMO: A framework for seamless physical, verbal, and graphical robot skill learning and adaptation",https://arxiv.org/abs/2604.20468
2603.16861,2026-03-17,furniture-woodworking,18,13,no,MolmoB0T: Large-Scale Simulation Enables Zero-Shot Manipulation,https://arxiv.org/abs/2603.16861
2602.22100,2026-02-25,furniture-woodworking,13,13,no,Behavioral Cloning for Robotic Connector Assembly: An Empirical Study,https://arxiv.org/abs/2602.22100
2609.01596,2026-09-01,manufacturing-robotics,10,13,yes,Facet-0: A Robotic Foundation Model for Contact-Rich Precise Manipulation,https://arxiv.org/abs/2609.01596
