step,value,unit,kind,source,plain_english
Cabinet makers in the US,6118,establishments,measured,"Census County Business Patterns 2022, NAICS 337110",How many businesses in America manufacture wood kitchen cabinets.
People they employ,102338,employees,measured,"Census CBP 2022, NAICS 337110",Total employment across those businesses.
What they pay those people,4853916000,usd/yr,measured,"Census CBP 2022, NAICS 337110",Total annual payroll. This is the anchor for the whole model: a business cannot pay wages out of demand that does not exist.
TAM — US cabinet manufacturing revenue,16017922800.0,usd/yr,derived,payroll x 3.3x revenue-to-payroll multiple,"The whole industry, at manufacturer prices: every wood cabinet and countertop made in America, across all 6,118 makers. The size of the pond."
Share of cabinet demand that wants custom,0.07614,share,measured,"Google Trends US 5y: 'custom cabinets' vs 'kitchen cabinets', 0% of weeks at the index floor","Of everyone looking for kitchen cabinets, the fraction looking for custom ones. Unlike every furniture term tested, this one is measurable: it never sits at the Trends resolution floor."
The custom slice of it,1219604641.992,usd/yr,derived,TAM x custom share,The part of the industry that is custom rather than stock. This is the part we would compete in.
SAM — the part our model can serve,182940696.29880002,usd/yr,assumed,TAM x 15% sellable direct,"Cabinets are normally sold through kitchen designers, showrooms and remodelers. This is the slice a direct, configurator-led business could compete for. Still not our revenue — it is what is available to us to win."
SOM — everything the factory can build,4001400,usd/yr,derived,factory model in the build plan — router and edgebander at 22 sheets a kitchen,"Not a share of the market — the market is far bigger than the plant. This is the ceiling the machines impose, so it is what binds."
Gross profit on that,1840644.0,usd/yr,assumed,SOM x 46% gross margin,"What is left after the sheet goods, the bought-in doors, the hardware and the freight. Not profit yet — the plant still has to be paid for."
Operating profit after the factory,690644.0,usd/yr,assumed,"gross profit - $1,150,000 annual fixed cost",The money actually kept. This is the number the whole model exists to produce.
Cabinet boxes that means cutting,3192,boxes/yr,derived,228 kitchens x 14 boxes,What the router and edgebander actually have to get through.
Kitchens a year at year 3,228.0,kitchens/yr,derived,"SOM / $17,550 per kitchen","What that revenue means in orders. A custom kitchen is one order of many boxes, not one cabinet."
Cabinet boxes a year at year 3,3192.0,boxes/yr,derived,kitchens x 14 boxes,What the factory actually has to cut.
